,datetime,ema,sma,rsi,close
791,2020-04-29,172.84889,173.58445,58.46878,177.42999
790,2020-04-30,174.12111,173.65222,59.66359,179.21001
789,2020-05-01,174.21089,173.59778,55.20516,174.57001
788,2020-05-04,175.13671,174.82222,58.2938,178.84
787,2020-05-05,176.26137,175.62667,59.64132,180.75999
786,2020-05-06,177.51709,176.86222,60.90252,182.53999
785,2020-05-07,178.73368,177.86778,61.67069,183.60001
784,2020-05-08,179.92294,179.04889,62.47954,184.67999
783,2020-05-11,181.28635,180.93,64.03842,186.74001
782,2020-05-12,181.53108,181.49444,58.64992,182.50999
781,2020-05-13,181.17486,181.55444,55.37578,179.75
780,2020-05-14,181.04589,182.21666,56.12129,180.53
779,2020-05-15,181.46871,182.69667,58.63091,183.16
778,2020-05-18,182.15697,183.15778,60.25965,184.91
777,2020-05-19,182.45158,183.27889,58.44708,183.63
776,2020-05-20,183.09326,183.50778,60.47749,185.66
775,2020-05-21,183.16061,183.36889,57.17253,183.42999
774,2020-05-22,183.23049,183.01,57.26276,183.50999
773,2020-05-26,182.89839,182.90556,54.2765,181.57001
772,2020-05-27,182.68071,183.13445,54.59197,181.81
771,2020-05-28,182.42457,183.23111,53.90766,181.39999
770,2020-05-29,182.58965,183.24111,56.55402,183.25
769,2020-06-01,182.63772,183.01,55.77115,182.83
768,2020-06-02,183.09218,183.15222,58.81201,184.91
767,2020-06-03,183.54574,183.11889,59.46138,185.36
766,2020-06-04,183.42059,183.06222,54.44867,182.92
765,2020-06-05,184.17648,183.47222,60.70616,187.2
764,2020-06-08,185.01318,184.22667,62.22095,188.36
763,2020-06-09,185.97054,185.11444,64.07252,189.8
762,2020-06-10,188.14444,186.83,71.44167,196.84
761,2020-06-11,187.76955,187.16556,53.64906,186.27
760,2020-06-12,187.76364,187.71111,55.31581,187.74001
759,2020-06-15,187.99891,188.15889,56.6851,188.94
758,2020-06-16,189.11313,189.07111,61.57741,193.57001
757,2020-06-17,190.13851,190.32889,62.24201,194.24001
756,2020-06-18,191.37481,191.34223,64.30618,196.32001
755,2020-06-19,192.12984,192.09667,62.24483,195.14999
754,2020-06-22,193.81788,193.29334,67.45008,200.57001
753,2020-06-23,195.4363,193.85667,68.6026,201.91
752,2020-06-24,195.91704,195.14223,61.48193,197.84
751,2020-06-25,196.80163,196.54222,63.9567,200.34
750,2020-06-26,196.70731,197.36334,57.56764,196.33
749,2020-06-29,197.05385,197.90445,59.84095,198.44
748,2020-06-30,198.34508,198.93444,64.7305,203.50999
747,2020-07-01,199.61606,199.86555,65.78354,204.7
746,2020-07-02,200.94485,201.1,67.16746,206.25999
745,2020-07-06,202.89588,202.22555,70.78881,210.7
744,2020-07-07,203.9667,202.93,66.43443,208.25
743,2020-07-08,205.73936,204.59555,70.13303,212.83
742,2020-07-09,207.45549,206.14889,71.24321,214.32001
741,2020-07-10,208.69839,208.07555,70.02045,213.67
740,2020-07-13,208.37272,209.03444,58.95592,207.07001
739,2020-07-14,208.36817,209.57222,60.26723,208.35001
738,2020-07-15,208.30254,209.94333,59.76916,208.03999
737,2020-07-16,207.42603,209.68333,53.44743,203.92
736,2020-07-17,206.51682,208.81445,51.95362,202.88
735,2020-07-20,207.53346,209.18667,61.63563,211.60001
734,2020-07-21,207.77677,208.73334,57.55347,208.75
733,2020-07-22,208.57141,208.44778,60.51776,211.75
732,2020-07-23,207.36513,207.21111,49.16593,202.53999
731,2020-07-24,206.15211,206.57,47.86415,201.3
730,2020-07-27,205.69169,206.07,50.75196,203.85001
729,2020-07-28,204.95735,205.40111,48.66854,202.02
728,2020-07-29,204.77788,205.41667,51.07943,204.06
727,2020-07-30,204.6023,205.53,50.87759,203.89999
726,2020-07-31,204.68384,204.79778,52.28617,205.00999
725,2020-08-03,207.05507,205.66333,63.8742,216.53999
724,2020-08-04,208.30206,205.83444,59.48852,213.28999
723,2020-08-05,209.22964,206.99,59.01856,212.94
722,2020-08-06,210.65372,208.66222,62.15553,216.35001
721,2020-08-07,211.01897,209.62111,56.83807,212.48
720,2020-08-10,210.46518,210.31333,51.63802,208.25
719,2020-08-11,209.04814,210.23778,46.37729,203.38
718,2020-08-12,209.07652,210.82555,52.58365,209.19
717,2020-08-13,209.00121,211.23556,52.03662,208.7
716,2020-08-14,208.98097,210.38667,52.25494,208.89999
715,2020-08-17,209.24077,210.05222,53.81703,210.28
714,2020-08-18,209.69062,209.89111,55.20104,211.49001
713,2020-08-19,209.6925,209.15222,52.68568,209.7
712,2020-08-20,210.67,209.38556,58.26864,214.58
711,2020-08-21,211.14,209.91556,55.99406,213.02
710,2020-08-24,211.65,211.06111,56.7745,213.69
709,2020-08-25,212.614,211.87,59.94849,216.47
708,2020-08-26,214.3212,213.25333,64.65385,221.14999
707,2020-08-27,216.77296,215.21778,69.17834,226.58
706,2020-08-28,219.20037,217.28778,70.89968,228.91
705,2020-08-31,220.46629,218.84778,65.21022,225.53
704,2020-09-01,221.82704,220.8,66.69203,227.27
703,2020-09-02,223.79163,222.69667,70.13982,231.64999
702,2020-09-03,222.4933,223.17222,51.37615,217.3
701,2020-09-04,220.84464,223.23444,48.41175,214.25
700,2020-09-08,217.20771,221.7,39.1641,202.66
699,2020-09-09,216.02417,220.60444,47.24494,211.28999
698,2020-09-10,213.89334,218.24778,43.02317,205.37
697,2020-09-11,211.92067,215.48333,42.10599,204.03
696,2020-09-14,210.61854,213.24778,43.44319,205.41
695,2020-09-15,210.25083,211.19333,46.68188,208.78
694,2020-09-16,209.21066,208.23778,43.6991,205.05
693,2020-09-17,207.95053,206.63889,42.03944,202.91
692,2020-09-18,206.43842,205.09889,40.10771,200.39
691,2020-09-21,205.65874,205.08555,42.53389,202.53999
690,2020-09-22,206.01099,204.65555,47.71145,207.42
689,2020-09-23,204.92679,204.12444,42.00692,200.59
688,2020-09-24,204.57943,204.03111,44.71667,203.19
687,2020-09-25,205.22755,204.29889,49.26309,207.82001
686,2020-09-28,206.07004,204.37222,50.78807,209.44
685,2020-09-29,206.30803,204.61778,48.66818,207.25999
684,2020-09-30,207.11242,205.44222,51.72413,210.33
683,2020-10-01,208.18194,206.78333,53.7801,212.46001
682,2020-10-02,207.78355,207.18889,47.38304,206.19
681,2020-10-05,208.30284,207.51778,51.53205,210.38
680,2020-10-06,207.82428,208.10889,47.25139,205.91
679,2020-10-07,208.22542,208.84667,51.08852,209.83
678,2020-10-08,208.69634,209.15334,51.81081,210.58
677,2020-10-09,210.11907,209.86111,56.62137,215.81
676,2020-10-12,212.37525,211.43222,61.0921,221.39999
675,2020-10-13,214.4722,212.82445,62.18822,222.86
674,2020-10-14,215.74976,213.75778,59.70678,220.86
673,2020-10-15,216.53181,215.25445,58.20607,219.66
672,2020-10-16,217.15745,216.28556,58.20607,219.66
671,2020-10-19,216.56996,217.20889,51.41202,214.22
670,2020-10-20,216.18597,217.74444,51.89004,214.64999
669,2020-10-21,215.90877,218.21333,52.06721,214.8
668,2020-10-22,215.70502,218.11111,52.18098,214.89
667,2020-10-23,215.81001,217.53667,53.93427,216.23
666,2020-10-26,214.66401,216.11667,45.65977,210.08
665,2020-10-27,214.38121,215.27111,49.92432,213.25
664,2020-10-28,212.04097,213.38444,38.94838,202.67999
663,2020-10-29,210.57677,211.72444,41.61624,204.72
662,2020-10-30,208.95542,210.41889,39.56277,202.47
661,2020-11-02,207.63034,209.05,39.43239,202.33
660,2020-11-03,207.39027,208.12,45.1348,206.42999
659,2020-11-04,209.19021,208.28667,55.97782,216.39
658,2020-11-05,212.01017,209.07111,61.63458,223.28999
657,2020-11-06,214.35214,210.58666,61.96261,223.72
656,2020-11-09,215.15971,211.15778,55.61505,218.39
655,2020-11-10,214.32977,212.08333,48.2454,211.00999
654,2020-11-11,214.77381,213.39778,53.25318,216.55
653,2020-11-12,214.90705,214.83889,52.16408,215.44
652,2020-11-13,215.22764,216.41444,53.15856,216.50999
651,2020-11-16,215.62811,217.61444,53.85376,217.23
650,2020-11-17,215.39449,217.4,50.73407,214.46001
649,2020-11-18,214.53159,216.04333,47.14522,211.08
648,2020-11-19,214.10927,214.78778,48.69471,212.42
647,2020-11-20,213.36542,213.89889,46.47204,210.39
646,2020-11-23,212.71434,213.79889,46.15908,210.11
645,2020-11-24,212.94347,213.5,50.92576,213.86
644,2020-11-25,213.12877,213.32555,50.93823,213.87
643,2020-11-27,213.54902,213.18333,52.69915,215.23
642,2020-11-30,213.65322,212.83222,51.0172,214.07001
641,2020-12-01,214.16457,213.02667,53.93796,216.21001
640,2020-12-02,214.40566,213.50333,52.61181,215.37
639,2020-12-03,214.37253,213.70556,50.80233,214.24001
638,2020-12-04,214.37002,214.14667,50.99507,214.36
637,2020-12-07,214.35402,214.61111,50.86986,214.28999
636,2020-12-08,214.68521,214.85,53.86708,216.00999
635,2020-12-09,214.10817,214.62,46.40481,211.8
634,2020-12-10,213.39054,214.09667,44.39128,210.52
633,2020-12-11,213.36443,214.00667,49.44788,213.25999
632,2020-12-14,213.53154,213.78333,51.091,214.2
631,2020-12-15,213.65123,213.64556,50.95818,214.13
630,2020-12-16,214.77699,214.20555,59.33481,219.28
629,2020-12-17,215.70559,214.76778,59.53714,219.42
628,2020-12-18,216.28247,215.24555,57.70405,218.59
627,2020-12-21,217.54398,215.97667,63.53152,222.59
626,2020-12-22,218.82318,217.32555,65.27067,223.94
625,2020-12-23,219.26255,218.49222,58.74503,221.02
624,2020-12-24,219.96004,219.54667,61.21888,222.75
623,2020-12-28,220.96003,220.74222,64.17433,224.96001
622,2020-12-29,221.59802,221.85556,62.3003,224.14999
621,2020-12-30,221.61442,222.12222,56.84868,221.67999
620,2020-12-31,221.77553,222.45555,58.03352,222.42
